source_irn,source_sku,source_invoice_link
IRN1UTUwmDLmwoGx6Ku,S6E46F994995670A661V,https://udaan.azureedge.net/document-receipt/iskyew3nwvjry3nr1q8q.jpg
IRNNeMKzkK1xE6bsUxq,S2D5BC298T9WK121B46T,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRNxgsjWu5AinN0owuT,SBD9FD2ACYD88942F90B,https://udaan.azureedge.net/document-receipt/6wl0gnwjnuaxvzdchajp.jpg
IRNuKpLvzBjGHVXrzVI,S01B61489B0B0G1145XA,https://udaan.azureedge.net/document-receipt/fzbl2yid4igg6bcax07r.jpg
IRNOkFi2NlSVYy0ABtl,S45FEA2FF2QPB885F05A,https://udaan.azureedge.net/document-receipt/g92qwbel0rt72e4p8avu.jpg
IRNVXKgnHzjnnwBvCSb,SC0AAXXFCZAFW0FVD560,https://udaan.azureedge.net/document-receipt/v5a04be2jaboxty6yntn.jpg
IRNO4caCyXaKXVjm6ls,S2WCE05602582BFCC534,https://udaan.azureedge.net/document-receipt/i1y6j6k41gowpcirpt3r.jpg
IRNVXKgnHzjnnwBvCSb,SD5406D5796C5889F91B,https://udaan.azureedge.net/document-receipt/v5a04be2jaboxty6yntn.jpg
IRNltzgbgDFrdwSQXAb,SFXBFCD99F604CB63D8E,https://udaan.azureedge.net/document-receipt/b6qp3u8ojlhi8bzo2cba.jpeg
IRNdVNPNjnzXy2k2pg5,SQBXD5B62E6BEBB211ZE,https://udaan.azureedge.net/document-receipt/vwq0kq3d3x303vfs2fiv.jpeg
IRNjSJKiW9Tb7hqPEw4,SW8C16HBW8E69D07CABF,https://udaan.azureedge.net/document-receipt/4hp5nu00v196gbkg3p7h.jpg
IRNoxzC0FkXHgMOXRHE,SS42D183642D41C6RHA8,https://udaan.azureedge.net/document-receipt/vszbk270exarqy2afw6o.jpeg
IRN2rAnKiarEsCytwkT,SS42D183642D41C6RHA8,https://udaan.azureedge.net/document-receipt/ncp3nb3ntukierb9qyuj.jpeg
IRN0cOFFzJ4Wln3KwhI,SB3A342FB918NDCBQ949,https://udaan.azureedge.net/document-receipt/gqsdvlr7gj69ja9t5top.jpg
IRN2SB9gSWxvSz0z8tc,S8565F2D7NBD6B74F847,https://udaan.azureedge.net/document-receipt/gr6cprj6n9wjug65zcju.jpeg
IRNgYNprNHaNb54LUvt,SQBXD5B62E6BEBB211ZE,https://udaan.azureedge.net/document-receipt/7wi9a4avi3rcthjby50x.jpg
IRNLWX6M4k7mmYSBl2D,SEE8Y7YET063D66F900T,https://udaan.azureedge.net/document-receipt/012hjqm07dy3309kott7.jpg
IRNoxzC0FkXHgMOXRHE,S61N4C863R3F9363358D,https://udaan.azureedge.net/document-receipt/vszbk270exarqy2afw6o.jpeg
IRNKz3muiaRpO3X4inK,SBA7G0MDAB80CBFD3DCF,https://udaan.azureedge.net/document-receipt/u6bihh2fjx4vzrekpmoc.jpeg
